"Assert","A_Passed","A_Failed","A_Total","B_Passed","B_Failed","B_Total"
"A01","0","10","10","10","0","10"
"A02","0","10","10","10","0","10"
"A03","10","0","10","10","0","10"
"A04","10","0","10","10","0","10"
"A05","0","10","10","10","0","10"
"A06","0","10","10","10","0","10"
"A06b","0","10","10","10","0","10"
"A07","10","0","10","10","0","10"
"A08","0","10","10","10","0","10"
"A08b","10","0","10","10","0","10"
"A09","0","10","10","10","0","10"
"A09b","10","0","10","10","0","10"
"A10","0","10","10","0","10","10"
"A11","10","0","10","10","0","10"
"A12","10","0","10","10","0","10"
"A12b","10","0","10","10","0","10"
"A13","0","10","10","10","0","10"
"A13b","0","30","30","30","0","30"
"A13c","0","10","10","10","0","10"
"A14","0","40","40","40","0","40"
"A14b","0","10","10","10","0","10"
"A14c","0","10","10","10","0","10"
"A15","0","40","40","40","0","40"
"A15b","0","10","10","10","0","10"
"A15c","10","0","10","10","0","10"
"A16","0","10","10","10","0","10"
"A16b","0","10","10","10","0","10"
"A16c","0","10","10","10","0","10"
"A16d","0","10","10","10","0","10"
"A17","0","10","10","10","0","10"
"A17b","0","10","10","10","0","10"
"A18","0","10","10","10","0","10"
"A18b","0","10","10","10","0","10"
"A18c","0","10","10","10","0","10"
"A19","0","10","10","10","0","10"
"A20","0","10","10","10","0","10"
"A21","0","10","10","10","0","10"
"A22","0","10","10","10","0","10"
"A22b","0","10","10","10","0","10"
"A22c","0","10","10","10","0","10"
"A23","0","40","40","40","0","40"
"A23b","10","0","10","10","0","10"
"A24","40","0","40","40","0","40"
"A24b","10","0","10","10","0","10"
"A25","30","0","30","30","0","30"
"A25b","10","0","10","10","0","10"
"A26","0","10","10","10","0","10"
"A26b","0","10","10","10","0","10"
"A26c","10","0","10","10","0","10"
"A27","0","60","60","60","0","60"
"A27b","0","10","10","10","0","10"
"A27c","10","0","10","10","0","10"
"A28","10","0","10","10","0","10"
"A28b","10","0","10","10","0","10"
"A28c","10","0","10","10","0","10"
"B01","0","10","10","10","0","10"
"B02","0","10","10","10","0","10"
"B03","0","10","10","10","0","10"
"B04","0","10","10","10","0","10"
"B05","0","10","10","10","0","10"
"B06","0","10","10","10","0","10"
"B06b","10","0","10","10","0","10"
"B07","0","10","10","10","0","10"
"B08","0","10","10","0","10","10"
"B09","0","10","10","0","10","10"
"B10","0","10","10","10","0","10"
"B10b","10","0","10","10","0","10"
"B11","10","0","10","10","0","10"
"B11b","10","0","10","10","0","10"
"C01","10","0","10","10","0","10"
"C02","0","10","10","0","10","10"
"C03","10","0","10","10","0","10"
"C04","0","10","10","10","0","10"
"C05","40","0","40","40","0","40"
"C06","10","0","10","10","0","10"
